order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,half_year_recommendation,one_year_target_price,one_year_recommendation
000050.XSHE,2016-04-30,兴业证券,,,2,1,2016-05-03 21:31:08,2016-05-03 21:31:08,2.0,,,,
000050.XSHE,2016-05-01,兴业证券,,,2,1,2016-05-03 14:30:06,2016-05-03 14:30:06,2.0,,,,
000050.XSHE,2016-05-02,中金财富,25.0000,M06,1,1,2016-05-04 07:36:10,2016-05-04 07:36:10,1.0,25.0,,,
000050.XSHE,2016-05-02,兴业证券,,,2,1,2016-05-03 16:21:16,2016-05-03 16:21:16,2.0,,,,
000050.XSHE,2016-05-08,兴业证券,,,2,1,2016-05-09 21:34:32,2016-05-09 21:34:32,2.0,,,,
000050.XSHE,2016-05-09,财信证券,,,2,1,2016-05-12 21:30:37,2016-05-12 21:30:37,2.0,,,,
000050.XSHE,2016-05-14,中金财富,25.0000,M06,1,1,2016-05-16 14:29:58,2016-05-16 14:29:58,1.0,25.0,,,
000050.XSHE,2016-05-14,兴业证券,,,2,1,2016-05-16 13:20:20,2016-05-16 13:20:20,2.0,,,,
000050.XSHE,2016-05-15,兴业证券,,,2,1,2016-05-16 13:20:20,2016-05-16 13:20:20,2.0,,,,
000050.XSHE,2016-05-16,兴业证券,,,2,1,2016-05-16 16:21:01,2016-05-16 16:21:01,2.0,,,,
000050.XSHE,2016-05-17,财信证券,25.0000,M06,2,1,2016-06-08 16:21:16,2016-06-08 16:21:16,2.0,25.0,,,
000050.XSHE,2016-05-19,中金公司,22.2800,M06,2,1,2016-05-19 10:16:30,2016-05-19 10:16:30,2.0,22.28,,,
000050.XSHE,2016-05-20,国金证券,26.1000,M06,1,1,2016-05-23 14:30:59,2016-05-23 14:30:59,1.0,26.1,,,
000050.XSHE,2016-05-22,兴业证券,,,2,1,2016-05-23 16:21:52,2016-05-23 16:21:52,2.0,,,,
000050.XSHE,2016-05-25,国泰海通证券,,,1,1,2016-05-25 17:06:42,2016-05-25 17:06:42,1.0,,,,
000050.XSHE,2016-05-26,银河证券,,,1,1,2016-05-27 17:29:30,2016-05-27 17:29:30,1.0,,,,
000050.XSHE,2016-05-29,兴业证券,,,2,1,2016-05-30 14:33:00,2016-05-30 14:33:00,2.0,,,,
000050.XSHE,2016-05-31,中金财富,29.6000,M06,1,1,2016-06-01 14:52:23,2016-06-01 14:52:23,1.0,29.6,,,
000050.XSHE,2016-06-01,中金公司,22.2800,M06,2,1,2016-06-01 14:30:17,2016-06-01 14:30:17,2.0,22.28,,,
000050.XSHE,2016-06-06,财信证券,,,2,1,2016-06-13 21:30:55,2016-06-13 21:30:55,2.0,,,,
000050.XSHE,2016-06-07,中金公司,22.2800,M06,2,1,2016-06-08 16:21:16,2016-06-08 16:21:16,2.0,22.28,,,
000050.XSHE,2016-06-07,兴业证券,,,2,1,2016-06-08 16:21:16,2016-06-08 16:21:16,2.0,,,,
000050.XSHE,2016-06-14,兴业证券,,,2,1,2016-06-15 16:21:32,2016-06-15 16:21:32,2.0,,,,
000050.XSHE,2016-06-16,兴业证券,,,2,1,2016-06-17 11:25:43,2016-06-17 11:25:43,2.0,,,,
000050.XSHE,2016-06-18,中金财富,,,1,1,2016-06-20 13:21:10,2016-06-20 13:21:10,1.0,,,,
000050.XSHE,2016-06-20,中金公司,22.2800,M06,2,1,2016-06-20 17:29:32,2016-06-20 17:29:32,2.0,22.28,,,
000050.XSHE,2016-06-20,东兴证券,,,2,1,2016-06-21 16:22:14,2016-06-21 16:22:14,2.0,,,,
000050.XSHE,2016-06-24,兴业证券,,,2,1,2016-06-24 16:20:44,2016-06-24 16:20:44,2.0,,,,
000050.XSHE,2016-06-26,兴业证券,,,2,1,2016-06-27 14:30:01,2016-06-27 14:30:01,2.0,,,,
000050.XSHE,2016-06-29,财信证券,,,2,1,2016-07-01 21:31:40,2016-07-01 21:31:40,2.0,,,,
000050.XSHE,2016-07-03,兴业证券,,,2,1,2016-07-04 16:21:05,2016-07-04 16:21:05,2.0,,,,
