date,order_book_id,size,non_linear_size,momentum,liquidity,book_to_price,leverage,growth,earnings_yield,beta,residual_volatility,comovement,银行,计算机,环保,商贸零售,电力设备,建筑装饰,建筑材料,农林牧渔,电子,交通运输,汽车,纺织服饰,医药生物,房地产,通信,公用事业,综合,机械设备,石油石化,有色金属,传媒,家用电器,基础化工,非银金融,社会服务,轻工制造,国防军工,美容护理,煤炭,食品饮料,钢铁
2018-07-20,002465.XSHE,-0.3677942372544551,0.6292576060058769,-0.8534800470137176,1.1523356344538156,-0.7154413246574511,-1.163962095570515,-0.45277995266890186,-1.5496309377685233,-0.005781367439715321,0.5136438989940998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-23,002465.XSHE,-0.35555218938986566,0.6187755791228011,-0.894753014906912,1.1435007938735526,-0.7355761503878864,-1.1733125578421268,-0.4537005393490589,-1.5726909667038245,0.017191390663342264,0.4523249089976242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-24,002465.XSHE,-0.3630249021919674,0.6255436312569245,-0.8528500476369133,1.1296375094224433,-0.7306459236574411,-1.174672007199007,-0.43969880312599235,-1.5797403318397558,-0.027761739411505223,0.434194202843415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-25,002465.XSHE,-0.360846616520965,0.6228214241814409,-0.8704962002952658,1.1248933522247548,-0.7328114997311692,-1.173404262697887,-0.43742450794384574,-1.5812703455580097,-0.028241810874304624,0.3969058325116368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-26,002465.XSHE,-0.34975953172362895,0.6135026934666213,-0.8578238143078817,1.1252715684316983,-0.7499502789566325,-1.1770111582697016,-0.4329345211952236,-1.6026579391297466,-0.03397161199690036,0.3813261552921743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-27,002465.XSHE,-0.36208572438857817,0.6251135441193405,-0.851364179801153,1.1173517852158772,-0.7365070201129361,-1.1750706509209101,-0.4334197388521178,-1.5943280436095648,-0.01566585190047616,0.3750194618739132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-30,002465.XSHE,-0.3574108815148767,0.6194516874672874,-0.5707834227695231,1.122591701811004,-0.7516935281767554,-1.1820061503264823,-0.43086674708608486,-1.6153511524192279,-0.027857116041722377,0.33250199530368935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-31,002465.XSHE,-0.3643244974299398,0.6301539958626101,-0.4857251590247562,1.106568720403175,-0.7422601839383529,-1.1812392223585364,-0.4276141544656552,-1.6128571791968516,-0.02963755193270722,0.2634845847225082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-01,002465.XSHE,-0.3797018179696626,0.6415272597199335,-0.3038905666221073,1.0846920033276426,-0.7213489168759326,-1.1790656476096855,-0.463104014401392,-1.5949591890867114,0.056979112211618374,0.2059328734193483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-02,002465.XSHE,-0.3748449094367891,0.6340693677205647,-0.31474226296252794,1.0498781097379355,-0.7330078332916594,-1.182254656831583,-0.4205210778961086,-1.5943226276038442,-0.0032075914295124036,0.15400425256757191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-03,002465.XSHE,-0.38568788791064135,0.6433131168616371,-0.295025929826918,1.0493020499259866,-0.7183808079213297,-1.1835831545343336,-0.41277287836747845,-1.59355407809283,0.08563202534486926,0.14267995506927772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-06,002465.XSHE,-0.4092241152405601,0.6604946680888731,-0.36031110114929754,1.0467343575713515,-0.6977537393126612,-1.1865444736016102,-0.414041690089052,-1.5835778561809513,0.2032409638142011,0.15278850715618286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-07,002465.XSHE,-0.4084355169594681,0.6604361426769543,-0.37331728874760395,1.0276127158947388,-0.6985052910026285,-1.188549958706936,-0.41839560486390104,-1.584436773833035,0.1907613830996363,0.09287442446789554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
